year,1_all,1_non_senior,1_senior,2_all,2_non_senior,2_senior,3_all,4_all,5_all,6_all,7_plus_all,7_all,8_all,9_plus_all,cpi
1959,1467,1503,1397,1894,1952,1761,2324,2973,3506,3944,4849,***,***,***,29.2
1960,1490,1526,1418,1924,1982,1788,2359,3022,3560,4002,4921,***,***,***,29.6
1961,1506,1545,1433,1942,2005,1808,2383,3054,3597,4041,4967,***,***,***,29.9
1962,1519,1562,1451,1962,2027,1828,2412,3089,3639,4088,5032,***,***,***,30.3
1963,1539,1581,1470,1988,2052,1850,2442,3128,3685,4135,5092,***,***,***,30.6
1964,1558,1601,1488,2015,2079,1875,2473,3169,3732,4193,5156,***,***,***,31
1965,1582,1626,1512,2048,2114,1906,2514,3223,3797,4264,5248,***,***,***,31.5
1966,1628,1674,1556,2107,2175,1961,2588,3317,3908,4388,5395,***,***,***,32.5
1967,1675,1722,1600,2168,2238,2017,2661,3410,4019,4516,5550,***,***,***,33.4
1968,1748,1797,1667,2262,2333,2102,2774,3553,4188,4706,5789,***,***,***,34.8
1969,1840,1893,1757,2383,2458,2215,2924,3743,4415,4958,6101,***,***,***,36.7
1970,1954,2010,1861,2525,2604,2348,3099,3968,4680,5260,6468,***,***,***,38.8
1971,2040,2098,1940,2633,2716,2448,3229,4137,4880,5489,6751,***,***,***,40.5
1972,2109,2168,2005,2724,2808,2530,3339,4275,5044,5673,6983,***,***,***,41.8
1973,2247,2307,2130,2895,2984,2688,3548,4540,5358,6028,7435,***,***,***,44.4
1974,2495,2562,2364,3211,3312,2982,3936,5038,5950,6699,8253,***,***,***,49.3
1975,2724,2797,2581,3506,3617,3257,4293,5500,6499,7316,9022,***,***,***,53.8
1976,2884,2959,2730,3711,3826,3445,4540,5815,6876,7760,9588,***,***,***,56.9
1977,3075,3152,2906,3951,4072,3666,4833,6191,7320,8261,10216,***,***,***,60.6
1978,3311,3392,3127,4249,4383,3944,5201,6662,7880,8891,11002,***,***,***,65.2
1979,3689,3778,3479,4725,4878,4390,5784,7412,8775,9914,12280,***,***,***,72.6
1980,4190,4290,3949,5363,5537,4983,6565,8414,9966,11269,13955,12761,14199,16896,82.4
1981,4620,4729,4359,5917,6111,5498,7250,9287,11007,12449,***,14110,15655,18572,90.9
1982,4901,5019,4626,6281,6487,5836,7693,9862,11684,13207,***,15036,16719,19698,96.5
1983,5061,5180,4775,6483,6697,6023,7938,10178,12049,13630,***,15500,17170,20310,99.6
1984,5278,5400,4979,6762,6983,6282,8277,10609,12566,14207,***,16096,17961,21247,103.9
1985,5469,5593,5156,6998,7231,6503,8573,10989,13007,14696,***,16656,18512,22083,107.6
1986,5572,5701,5255,7138,7372,6630,8737,11203,13259,14986,***,17049,18791,22497,109.6
1987,5778,5909,5447,7397,7641,6872,9056,11611,13737,15509,***,17649,19515,23105,113.6
1988,6022,6155,5674,7704,7958,7157,9435,12092,14304,16146,***,18232,20253,24129,118.3
1989,6310,6451,5947,8076,8343,7501,9885,12674,14990,16921,***,19162,21328,25480,124
1990,6652,6800,6268,8509,8794,7905,10419,13359,15792,17839,***,20241,22582,26848,130.7
1991,6932,7086,6532,8865,9165,8241,10860,13924,16456,18587,***,21058,23582,27942,136.2
1992,7143,7299,6729,9137,9443,8487,11186,14335,16952,19137,***,21594,24053,28745,140.3
1993,7363,7518,6930,9414,9728,8740,11522,14763,17449,19718,***,22383,24838,29529,144.5
1994,7547,7710,7108,9661,9976,8967,11821,15141,17900,20235,***,22923,25427,30300,148.2
1995,7763,7929,7309,9933,10259,9219,12158,15569,18408,20804,***,23552,26237,31280,152.4
1996,7995,8163,7525,10233,10564,9491,12516,16036,18952,21389,***,24268,27091,31971,156.9
1997,8183,8350,7698,10473,10805,9712,12802,16400,19380,21886,***,24802,27593,32566,160.5
1998,8316,8480,7818,10634,10972,9862,13003,16660,19680,22228,***,25257,28166,33339,163
1999,8499,8667,7990,10864,11213,10075,13289,17030,20128,22730,***,25918,28970,34436,166.6
2000,8791,8959,8259,11235,11589,10418,13740,17604,20815,23533,***,26750,29701,35150,172.2
2001,9039,9214,8494,11569,11920,10715,14128,18104,21405,24195,***,27517,30627,36286,177.1
2002,9183,9359,8628,11756,12110,10885,14348,18392,21744,24576,***,28001,30907,37062,179.9
2003,9393,9573,8825,12015,12384,11133,14680,18810,22245,25122,***,28544,31589,37656,184
2004,9646,9827,9060,12335,12714,11430,15066,19307,22830,25787,***,29233,32641,39062,188.9
2005,9973,10160,9367,12755,13145,11815,15577,19971,23613,26683,***,30249,33610,40288,195.3
2006,10294,10488,9669,13167,13569,12201,16079,20614,24382,27560,***,31205,34774,41499,201.6
2007,10590,10787,9944,13540,13954,12550,16530,21203,25080,28323,***,32233,35816,42739,207.342
2008,10991,11201,10326,14051,14489,13030,17163,22025,26049,29456,***,33529,37220,44346,215.303
2009,10956,11161,10289,13991,14439,12982,17098,21954,25991,29405,***,33372,37252,44366,214.537
2010,11137,11344,10458,14216,14676,13194,17373,22315,26442,29904,***,34019,37953,45224,218.056
2011,11484,11702,10788,14657,15139,13609,17916,23021,27251,30847,***,35085,39064,46572,224.939
2012,11720,11945,11011,14937,15450,13892,18284,23492,27827,31471,***,35743,39688,47297,229.594
2013,11888,12119,11173,15142,15679,14095,18552,23834,28265,31925,***,36384,40484,48065,232.957
2013,11880,12119,11173,15139,15678,14097,18554,23844,28234,31887,***,36239,39930,48343,232.957
2014,12071,12316,11354,15379,15934,14326,18850,24230,28695,32473,***,36927,40968,49021,236.736
2015,12082,12331,11367,15391,15952,14342,18871,24257,28741,32542,***,36998,41029,49177,237.017
2016,12228,12486,11511,15569,16151,14522,19105,24563,29111,32928,***,37458,41781,49721,240.007
2017,12488,12752,11756,15877,16493,14828,19515,25094,29714,33618,***,38173,42684,50681,245.12
